flutter: 🎯 Target Bitrate: 580.323 kbps | 📡 Current Bitrate: 7086.99 kbps
flutter: 🎯 Target Bitrate: 490.159 kbps | 📡 Current Bitrate: 1028.29 kbps
flutter: 🎯 Target Bitrate: 491.104 kbps | 📡 Current Bitrate: 1495.55 kbps
flutter: 🎯 Target Bitrate: 491.168 kbps | 📡 Current Bitrate: 3214.36 kbps
flutter: 🎯 Target Bitrate: 491.168 kbps | 📡 Current Bitrate: 3568.92 kbps
flutter: 🎯 Target Bitrate: 490.408 kbps | 📡 Current Bitrate: 3575.37 kbps
flutter: 🎯 Target Bitrate: 490.784 kbps | 📡 Current Bitrate: 2888.35 kbps
flutter: 🎯 Target Bitrate: 710.035 kbps | 📡 Current Bitrate: 1316.20 kbps
flutter: 🎯 Target Bitrate: 710.035 kbps | 📡 Current Bitrate: 1052.70 kbps
flutter: 🎯 Target Bitrate: 982.424 kbps | 📡 Current Bitrate: 1047.16 kbps
flutter: 🎯 Target Bitrate: 982.432 kbps | 📡 Current Bitrate: 1008.98 kbps
flutter: 🎯 Target Bitrate: 982.816 kbps | 📡 Current Bitrate: 358.62 kbps
flutter: 🎯 Target Bitrate: 983.016 kbps | 📡 Current Bitrate: 616.75 kbps
flutter: 🎯 Target Bitrate: 982.584 kbps | 📡 Current Bitrate: 581.64 kbps
flutter: 🎯 Target Bitrate: 982.224 kbps | 📡 Current Bitrate: 878.78 kbps
flutter: 🎯 Target Bitrate: 982.632 kbps | 📡 Current Bitrate: 636.39 kbps
flutter: 🎯 Target Bitrate: 982.744 kbps | 📡 Current Bitrate: 0.00 kbps
           AURemoteIO.cpp:1091  failed: 561015905 (enable 3, outf< 1 ch,  48000 Hz, Int16> inf< 1 ch,  48000 Hz, Int16>)
           AURemoteIO.cpp:1091  failed: 561015905 (enable 3, outf< 1 ch,  48000 Hz, Int16> inf< 1 ch,  48000 Hz, Int16>)
