
Timestamp,target_bitrate,current_bitrate
bandwidth_marks = [
flutter: 2025-06-10T00:56:18.614670,24657.499,19508.37
flutter: 2025-06-10T00:56:19.613710,40381.94,17596.82
flutter: 2025-06-10T00:56:20.613146,1314.255,18412.09
flutter: 2025-06-10T00:56:21.613710,500.721,1673.98
flutter: 2025-06-10T00:56:22.613878,491.456,3308.08
flutter: 2025-06-10T00:56:23.614600,491.456,5330.81
flutter: 2025-06-10T00:56:24.615980,491.6,4148.38
flutter: 2025-06-10T00:56:25.617805,491.392,2850.67
flutter: 2025-06-10T00:56:26.619131,491.496,1070.58
flutter: 2025-06-10T00:56:27.617884,983.056,1038.15
flutter: 2025-06-10T00:56:28.615483,983.056,1043.91
flutter: 2025-06-10T00:56:29.615127,982.992,1020.76
flutter: 2025-06-10T00:56:30.613281,982.992,1013.93
flutter: 2025-06-10T00:56:31.614399,982.992,924.70
flutter: 2025-06-10T00:56:32.614894,983.2,704.18
flutter: 2025-06-10T00:56:33.614673,983.2,782.05
flutter: 2025-06-10T00:56:34.613734,982.59,652.76
flutter: 2025-06-10T00:56:35.616655,1229.296,751.18
flutter: 2025-06-10T00:56:36.614346,1616.773,740.76
flutter: 2025-06-10T00:56:37.721325,2775.151,124.07
flutter: 2025-06-10T00:56:38.612917,3626.522,0.00
flutter: 2025-06-10T00:56:40.104387,3626.562,0.00
flutter: 2025-06-10T00:56:40.613774,5379.583,1155.51
flutter: 2025-06-10T00:56:41.612454,5379.836,3294.33
flutter: 2025-06-10T00:56:42.614252,5679.308,4426.83
flutter: 2025-06-10T00:56:43.614117,6184.014,3949.61
flutter: 2025-06-10T00:56:44.613624,6579.95,4635.62
flutter: 2025-06-10T00:56:45.614441,7055.942,5241.63
flutter: 2025-06-10T00:56:46.613777,7744.688,5288.08
flutter: 2025-06-10T00:56:47.616124,8290.705,8287.54
flutter: 2025-06-10T00:56:48.616003,8898.942,9262.18
flutter: 2025-06-10T00:56:49.615499,9625.644,9594.76
flutter: 2025-06-10T00:56:50.620568,10562.894,8189.72
flutter: 2025-06-10T00:56:51.614279,10980.239,7455.75
flutter: 2025-06-10T00:56:52.613782,11772.111,7961.24
flutter: 2025-06-10T00:56:53.614198,12914.72,8632.31
flutter: 2025-06-10T00:56:54.613821,13847.796,9620.96
flutter: 2025-06-10T00:56:55.614313,14842.638,10021.03
